sample_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106
10,0.033285729,275251.2,2.045070089,0.332574112,313.4696141,5.136214976,-0.128959458,27525701236,37222.89051,8.21691E+14,0.492128653,,768618.3926,-0.409390177,1.805607798,1.046467426,-2.09288E+13,,105.6327054,1.993690582,1890,172488.5997,0.025701826,332.6299811,,353988.4548,7.077061001,0.357238169,,0.813879819,0.211216632,159.0762795,42,1.362011501,0.657547299,-1.927834648,-4.30999E+12,137433.4659,0.309451982,78217515.21,0.069263779,129.9944577,1498909926,-69592.35495,29.40749674,-0.160084572,31.67644034,120766.8173,122429034.7,0.471900432,493426.4255,6.72858E+15,31224.1098,3.256841065,275251.2,410685.7463,-14.26792468,0,52604.93301,0.415527154,69638553.6,-30098.58915,109.7937846,,1075.2,10.5,2.22099E+12,56.74121869,238887.7649,166.646552,53542.74617,0.022784742,-4038392.385,71925.76141,632964.1916,,-1.860574735,0,4300.8,-1.06E+16,0.84,-2.938148156,-1.28529E+11,0.400568698,5.98904E+13,0.006796605,1.48445E+12,6642283907,17203.2,10773631.84,,-1.0948E+13,1075.2,47.61857548,-607009.1264,83.2006436,,0.148194644,343.3697967,19586.97968,0,691873869.4,199.319956,538.7665841,143.2963582,0.947815378,0.007866857
11,2.629904107,275251.2,2.06674011,0.190201415,190.0705904,5.778908956,0.049381436,6955301498,-2936.297166,-7.71783E+14,0.499970301,0.853927169,165493.8019,0.726792919,-0.206713238,1.045128525,1.19782E+13,137.950181,94.03756918,8.517462515,1890,117820.4912,0.038830441,,333787.1262,122852.694,44.54173964,1.123423797,3.84621004,0.107960243,,10.72537558,42,-0.980906564,0.644182751,-1.973146563,8.48385E+12,373900.8931,0.429042039,-106571795.8,0.079867671,185.7002207,-169848041.5,-43897.07511,28.79779817,-0.349073118,27.59846124,124433.7583,289741300.3,47.00718149,520623.1598,-7.37613E+15,255007.1886,1.472598927,275251.2,232817.769,60.35966952,0,36452.92987,0.665797696,,-58049.27977,39.18603078,315817.2231,1075.2,10.5,-1.91876E+13,76.33044208,694000.111,231.2938512,51025.0624,,-7013553.615,151365.9247,,,0.105524845,0,4300.8,-1.62E+16,0.84,4.081405627,-99974615940,0.216030717,3.20698E+12,-0.002869995,-8.41396E+11,7991103880,17203.2,15702595.63,4021.871579,1.30309E+13,1075.2,60.79477957,-4358237.792,115.5918322,-77811.57596,-0.165604712,223.5910934,140020.9201,0,-715243942.7,212.3200531,253.3670053,198.1489494,1.853774537,0.427416248
12,0.177673163,275251.2,1.049500288,0.234223518,413.1424157,1.649417586,0.575353269,-2.67574E+11,14993.90221,-3.59728E+14,0.521022494,1.15085712,970137.1045,7.094073603,10.80010767,1.04673974,2.3811E+11,155.904507,72.66454066,-4.129686576,1890,484745.0585,0.001548868,336.7866831,37880.52743,336471.6047,32.21145334,6.066665266,2.080835816,1.104941611,4.438924001,-15.80006427,42,6.253501243,3.847998299,11.24458062,4.54132E+12,32008.32048,2.522066034,-66566828.56,0.185928942,81.92447047,-2170778269,150567.6129,26.35090644,-0.034681277,19.75698637,173209.0609,192655612.3,71.10881153,67205.04413,,,,275251.2,348688.8896,-53.72177883,0,-15311.43914,3.340434471,69638553.6,-93078.4897,114.5988259,387513.6021,1075.2,10.5,2.52171E+13,62.03955492,71199.80892,155.8796452,71340.54915,0.041575886,-3365303.219,,342137.5686,576.8048898,4.065079553,0,4300.8,-6.7945E+15,,2.52540123,-22558234460,0.036779643,1.09574E+13,0.001938257,5.79459E+11,7493109007,,7883609.101,5975.326828,12922696778,1075.2,27.82134936,-911947.1519,90.39595679,-48786.32303,6.785953921,279.1264652,,0,-641904754.4,283.5386095,255.4540595,,6.810852368,0.448907514
13,1.305659836,275251.2,1.054800142,0.262430779,318.8084472,4.700385873,0.205686942,2.22991E+11,20870.76631,5.64989E+14,1.033651706,0.394195506,249816.6895,-1.399033808,-1.039546511,,-6.4038E+12,112.0749069,102.263216,-7.530457499,1890,320387.9041,-0.01969678,274.2572141,198296.1528,,36.38436881,0.949759139,0.025570683,1.171767972,,130.3530244,42,0.260654066,2.189960568,-0.087242959,8.02594E+12,60839.67778,0.060592812,-81910720.5,,69.64675079,-223521515.1,-31021.84271,25.69935369,-0.094204155,22.06185656,186085.9451,,54.04635885,158571.5156,-2.47133E+15,183840.7708,0.055498926,275251.2,41146.27605,37.8461701,0,-28908.71256,2.427368343,69638553.6,-67097.06257,100.635691,536752.4732,1075.2,10.5,1.95576E+13,81.81178148,419165.7028,134.8365538,4497.765689,1.016086307,-3021352.498,15274.02267,49647.41505,397.6752114,-0.855573359,0,4300.8,1.38E+16,,-3.066001511,23113193982,2.041655251,-6.38403E+13,0.007648044,-2.13769E+12,31154087627,17203.2,42588133.07,25204.07228,-4.52649E+12,1075.2,55.51134999,274699.3491,73.24896365,749194.7547,0.766350695,239.5957989,105500.942,0,-788389481.3,283.2082614,523.6579616,100.4892906,2.80456487,1.705341984
14,1.672992616,275251.2,1.047222168,0.100372205,176.736033,7.235130048,0.370390102,3.56717E+11,6910.642947,-1.13947E+14,0.576279659,5.605401382,21424.19011,0.563797218,-3.704219117,,1.58539E+13,142.9912887,130.7846652,-1.451789138,1890,391137.106,0.039956077,354.8159709,441001.6982,633369.947,38.63819978,,1.474515304,0.870826283,3.808950848,130.3438595,42,-1.414297882,2.928901963,0.016907799,-1.22659E+13,176164.0353,1.788285504,-74144181.32,0.113851663,249.1087788,-675499411.5,-61584.85163,16.94600411,,15.71126689,202049.6809,-419381066.9,94.31639582,494609.8263,2.12045E+15,98037.29408,1.490022056,,179941.229,-10.25743713,0,-48080.65306,1.290708977,69638553.6,-111942.6007,132.3377402,,1075.2,10.5,-9.06796E+12,67.88375409,710797.029,78.3028474,81626.01288,1.023799326,2197540.18,65111.3134,409647.9474,409.3198149,-0.079962991,0,4300.8,-6.57011E+15,0.84,0.956841348,97230026742,0.441532951,-1.15966E+12,0.010118325,2.64999E+12,1.15935E+11,17203.2,-58517099.27,4103.173153,3.81778E+11,1075.2,35.04161094,2668037.215,147.8639094,395214.9658,0.39242627,366.1631419,76315.9704,0,-753445292.6,171.6457989,579.6449871,197.617446,-2.764499496,1.144580485
15,1.159647164,275251.2,1.066031062,0.393645917,314.0617776,6.576451271,0.509568924,-1.89316E+11,6413.290542,1.93422E+14,1.022275914,0.320507544,228937.6064,-0.165049869,1.23161348,0.399063059,1.58021E+13,187.2735581,112.6264873,0.028821741,1890,65806.62491,0.02852033,261.6042581,90970.77747,390457.5899,,0.815853994,1.629439392,0.397563105,4.029731278,106.9500425,42,1.2983156,,2.811403852,6.1294E+12,459374.8817,0.503935263,-156849230.6,0.540854076,181.7697934,179605485.8,12463.99609,14.90812783,-0.152721318,14.68960527,194125.4141,158350558.1,18.46362011,,2.55352E+15,206276.5945,1.450705308,275251.2,294454.406,-31.18809524,0,57766.36393,-0.444890323,69638553.6,132876.2415,105.5800083,454006.359,1075.2,10.5,2.63992E+13,104.1038247,263754.9278,148.0105631,21083.32287,1.023873672,-2300728.145,145351.9384,141059.4032,529.280961,1.743876799,0,4300.8,-1.41843E+14,0.84,11.53301408,-20761749182,2.60841634,5.44126E+13,0.010829539,1.40094E+12,-22154573382,17203.2,3514779.772,9116.673155,-26449099624,1075.2,38.72115854,-1254197.284,156.8983923,-1151994.34,0.515119269,328.8634741,19733.72679,0,-399154129.5,180.738643,377.4547216,120.0037094,-4.076398272,0.268880565
16,0.377349031,275251.2,1.049521962,1.305184337,189.8434359,9.766651024,0.801301078,-15152482609,,-1.06162E+15,1.008067193,0.245388834,387213.6624,0.690329386,2.435997372,1.041994689,-3.88241E+13,136.6456313,106.8472244,-6.789323917,1890,277882.9117,0.073909547,333.2336235,,602745.5208,31.08963827,-0.905343046,0.663505651,0.191177326,2.413959055,42.53258514,42,0.739800487,0.554703142,1.056465721,-3.8915E+12,66764.13602,1.130902718,51959822.34,0.150355129,319.0428943,632163760.3,24644.23762,17.57212635,0.335379869,12.02478033,152508.1537,-173862611,,336231.3825,2.94244E+15,175659.5907,2.419385622,275251.2,417355.0818,49.89283926,0,-34539.30992,1.260021186,69638553.6,-68211.62066,106.3213434,153919.9751,1075.2,10.5,1.70638E+13,78.45174577,700340.8306,15.13078328,82147.5877,0.043975966,3793804.114,80476.41777,,298.6982461,-2.939906687,0,,-7.41434E+15,0.84,18.14979751,1.9062E+11,1.23698587,,0.002202076,1.82254E+12,-64610680917,17203.2,-74342368.78,60.6012712,-4.97814E+12,1075.2,64.15254974,2001265.567,112.0882853,434032.1745,0.623058042,266.8740715,130361.0688,0,-1108775634,201.17946,105.8178817,98.75258907,-5.526636038,0.784978342
17,0.943628631,275251.2,,0.608496403,194.8641945,7.886338468,-0.781023191,2.14411E+11,21629.01324,-4.53982E+14,1.012784321,0.572977461,343594.9377,1.137570381,-0.798478755,0.399638388,-7.25753E+12,143.768008,68.44109194,2.46259941,,379979.9013,0.021108478,409.1444277,442616.764,305908.8599,24.62074015,-1.279261687,2.106476689,0.588809902,-3.745444556,68.95059429,42,-0.710437678,1.393539704,-4.525482143,-7.74445E+12,,0.938042805,-57873317,0.176795774,178.5311956,2024343262,4526.703662,36.43882102,0.142951294,25.67725324,169018.7215,63232884.55,-1.474607511,525080.3309,-4.48735E+15,144886.5598,0.985130725,275251.2,211207.0234,20.45510215,0,11667.96612,3.991067853,69638553.6,45236.85464,99.93656452,381778.1661,1075.2,10.5,-4.51631E+13,94.80987529,223991.9688,146.689699,26815.0098,1.00471174,7490077.723,12731.84427,601595.1208,,1.540005749,0,4300.8,4.90008E+15,0.84,3.998823672,-86398459158,0.610513834,1.49656E+13,,-1.73548E+12,29427688382,17203.2,-22303944.96,,-8.51212E+12,1075.2,34.19744324,2903978.888,85.11576475,647391.6135,3.783176351,266.5507128,62985.24183,0,625980853.6,122.7946227,486.2069947,148.7380241,5.146548966,
18,0.807191272,275251.2,1.057732072,1.137151693,290.6737679,17.57413995,0.779799522,4.2761E+11,-7833.742796,-6.67032E+14,1.005377765,0.044281478,687748.5795,0.207452265,2.631959782,0.037082377,-8.39872E+12,213.4147962,127.6928666,31.63499883,1890,48426.00904,0.040466071,346.8686602,491683.4554,583443.5451,16.10668313,2.122426987,0.006338025,2.381195526,3.03115945,119.0424262,42,1.860629403,0.822298847,3.213862259,5.97212E+12,,1.396884711,-114211303.9,1.567508105,226.3046629,1827327038,-982.612176,28.88424763,-0.135926235,3.160482055,,61076707.44,87.66695831,642378.4318,-2.03391E+15,125582.4412,,275251.2,,-54.69711386,0,1264.864758,2.076209151,69638553.6,59296.11301,80.58574559,536355.4477,1075.2,10.5,-3.50351E+12,135.0580709,179512.5805,85.93511379,8734.431641,1.031781169,5698487.32,96800.03477,597503.3812,334.6732177,-1.590089566,0,4300.8,4.85836E+14,0.84,2.800510831,77795424792,0.006637918,-2.28663E+13,,-3.9246E+11,1.35604E+11,17203.2,-26459693.82,19685.48944,1.64176E+13,1075.2,49.0385247,1897644.62,141.6604581,,2.192068361,478.5610006,61241.941,0,449918024.5,158.553481,382.0211704,210.0502113,0.403158718,1.16019868
19,0.875207556,275251.2,2.06146135,0.04058375,165.7281334,11.72500671,0.268050354,87527859477,12227.27224,7.55032E+14,0.982094986,1.900359374,235492.3104,-1.247838351,3.59009458,1.039383294,-2.41888E+13,118.5486821,142.0218048,-1.949330226,,153889.144,0.159047845,549.1723845,92281.79679,722440.3236,22.61612625,,1.215971336,0.039237673,3.484236562,35.21113703,42,-0.460674122,0.296618651,-0.789710158,9.42914E+12,,1.533127704,60423568.58,1.094023548,222.5064768,551333321.7,12813.64873,31.5129927,0.027567875,20.91790533,111047.459,-186366721.4,5.279609045,58456.98847,-5.17655E+15,95575.95038,0.746686993,275251.2,611036.9342,-6.171486878,0,-36779.14566,0.878837277,69638553.6,23401.70808,128.7270658,35200.14653,1075.2,10.5,8.44953E+12,63.42762242,392130.1208,96.1217107,63413.99744,0.032742517,460235.3527,120094.7495,144328.5906,604.7135694,0.652410425,0,4300.8,-1.72E+16,0.84,7.217351889,75567246946,0.101096119,-4.07492E+12,0.005522881,1.07473E+12,-75576737219,,11165806.77,6157.411661,-5.99526E+12,1075.2,41.55354462,2738834.709,106.4333421,-255852.0594,0.037369003,118.8669932,60423.89194,0,-1131174337,101.3317561,472.9266927,214.6872999,-2.707759184,1.006822646
20,0.055223279,275251.2,1.055877079,0.468286064,240.4221758,8.858057093,0.983528003,-5.36606E+11,-20732.50241,-1.4513E+14,1.031397584,2.07397374,255151.5983,-1.199598073,-0.445804601,1.026396035,2.92113E+12,83.19486959,52.80901759,7.312391168,1890,13918.53134,,136.446113,52815.15411,377663.087,29.94677533,0.562386559,1.882002745,0.518467201,-0.155792808,43.91337389,42,-2.641645049,0.073952201,7.085945709,-2.69558E+12,221225.0024,2.25213817,185227007.2,1.11157751,,-1216872895,-106293.8232,23.83662574,-0.35694739,15.00122494,110077.306,50108143.58,-48.03313127,525369.8633,-3.27089E+15,17108.80801,0.513053845,275251.2,364186.0038,58.07823781,0,116458.5968,-3.43807549,69638553.6,40540.32541,83.21289195,479421.727,1075.2,10.5,-1.15755E+13,81.10445507,521629.657,154.8384171,55299.85685,1.039276036,-2158483.895,86672.01896,38783.51453,322.8773602,-1.431217046,0,4300.8,3.67829E+14,0.84,,-1.23068E+11,0.915392303,-3.72785E+13,0.007830515,2.01739E+12,-1.42597E+11,17203.2,2219489.336,22479.25559,-1.34644E+12,1075.2,51.68111346,3199397.268,42.73670896,-539941.0763,-2.074621613,85.70105715,61866.65416,0,-649070911.7,110.4864748,320.415447,157.7088481,2.554920764,0.16200095
